,Evaluacion crediticia historica,Edad,Genero,Evaluacion Sueldo,Residencia,Nivel de ahorro,Monto del credito,Duracion,Proposito,Riesgo
188,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,bad
189,0,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
190,2,28 to 38,male,3,own,rich,250 to 1554,4 to 12,business,bad
191,0,19 to 28,male,1,free,moderate,250 to 1554,12 to 24,business,bad
192,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,business,bad
193,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,good
194,2,19 to 28,male,2,rent,moderate,250 to 1554,12 to 24,radio/TV,bad
195,4,19 to 28,female,3,own,little,250 to 1554,4 to 12,education,bad
196,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
197,2,19 to 28,female,2,rent,moderate,250 to 1554,4 to 12,furniture/equipment,bad
198,2,19 to 28,male,2,free,no account,250 to 1554,4 to 12,car,good
199,3,28 to 38,male,3,own,little,250 to 1554,4 to 12,furniture/equipment,bad
200,4,28 to 38,male,2,own,quite rich,250 to 1554,4 to 12,education,good
201,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
202,3,19 to 28,male,2,own,little,250 to 1554,12 to 24,business,good
203,2,19 to 28,male,2,rent,little,250 to 1554,4 to 12,education,bad
204,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
205,4,28 to 38,male,3,free,little,1554 to 3368,12 to 24,car,good
206,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
207,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,domestic appliances,good
208,2,19 to 28,male,1,own,little,1554 to 3368,4 to 12,business,good
209,2,28 to 38,male,2,own,rich,250 to 1554,4 to 12,car,good
210,4,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
211,2,28 to 38,female,1,own,no account,250 to 1554,12 to 24,radio/TV,good
212,0,28 to 38,male,2,own,little,250 to 1554,12 to 24,business,bad
213,3,38 to 75,male,3,own,little,250 to 1554,12 to 24,business,bad
214,4,28 to 38,male,2,own,no account,250 to 1554,12 to 24,radio/TV,good
215,4,28 to 38,female,1,own,no account,250 to 1554,4 to 12,education,good
216,0,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
217,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
218,2,19 to 28,male,1,rent,little,250 to 1554,4 to 12,furniture/equipment,good
219,2,38 to 75,female,2,own,little,250 to 1554,4 to 12,car,good
220,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
221,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,education,good
222,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
223,3,19 to 28,male,2,own,no account,250 to 1554,4 to 12,business,good
224,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,car,good
225,0,19 to 28,male,2,own,little,250 to 1554,12 to 24,repairs,good
226,2,19 to 28,male,2,own,rich,1554 to 3368,12 to 24,radio/TV,bad
227,2,28 to 38,male,3,free,little,1554 to 3368,4 to 12,furniture/equipment,bad
228,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
229,2,19 to 28,male,2,free,little,250 to 1554,4 to 12,furniture/equipment,good
230,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,bad
231,2,28 to 38,male,1,free,quite rich,250 to 1554,4 to 12,car,good
232,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,radio/TV,good
233,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
234,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
235,2,19 to 28,male,3,own,little,250 to 1554,4 to 12,radio/TV,bad
236,2,19 to 28,male,0,own,no account,3368 to 18424,4 to 12,car,bad
237,2,38 to 75,male,1,rent,moderate,250 to 1554,4 to 12,business,bad
238,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
239,2,28 to 38,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
240,2,19 to 28,female,2,own,no account,250 to 1554,4 to 12,car,bad
241,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
242,0,19 to 28,male,2,free,little,250 to 1554,12 to 24,car,bad
243,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,business,good
244,1,19 to 28,female,1,own,quite rich,250 to 1554,4 to 12,education,good
245,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
246,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
247,0,19 to 28,male,2,rent,moderate,250 to 1554,4 to 12,car,good
248,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
249,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,radio/TV,bad
250,4,28 to 38,female,1,own,rich,250 to 1554,4 to 12,car,good
251,2,28 to 38,female,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
252,2,19 to 28,female,2,own,little,250 to 1554,12 to 24,car,bad
253,3,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,furniture/equipment,good
254,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
255,3,19 to 28,male,1,own,no account,1554 to 3368,24 to 72,radio/TV,good
256,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,radio/TV,good
257,1,19 to 28,male,2,free,little,250 to 1554,4 to 12,radio/TV,bad
258,2,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,car,good
259,4,38 to 75,female,1,own,moderate,250 to 1554,4 to 12,radio/TV,good
260,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
261,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
262,4,19 to 28,male,3,free,little,250 to 1554,4 to 12,car,good
263,4,38 to 75,female,1,free,little,250 to 1554,4 to 12,education,good
264,4,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
265,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
266,4,19 to 28,male,2,own,no account,250 to 1554,12 to 24,business,good
267,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
268,2,28 to 38,male,3,own,little,1554 to 3368,4 to 12,car,bad
269,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
270,2,19 to 28,male,2,own,no account,250 to 1554,4 to 12,car,good
271,4,19 to 28,female,2,rent,quite rich,250 to 1554,4 to 12,furniture/equipment,good
272,1,19 to 28,male,3,free,no account,1554 to 3368,12 to 24,car,good
273,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,bad
274,2,19 to 28,male,1,own,little,1554 to 3368,12 to 24,repairs,bad
275,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
276,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
277,2,28 to 38,male,1,own,no account,250 to 1554,4 to 12,furniture/equipment,good
278,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
279,2,19 to 28,male,3,rent,moderate,250 to 1554,4 to 12,radio/TV,good
280,4,19 to 28,male,2,rent,rich,250 to 1554,4 to 12,car,good
281,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
282,1,28 to 38,male,1,own,no account,250 to 1554,4 to 12,radio/TV,good
283,4,38 to 75,male,2,own,no account,250 to 1554,4 to 12,furniture/equipment,good
284,4,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,car,good
285,2,19 to 28,female,1,own,little,1554 to 3368,12 to 24,car,good
286,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,car,good
287,3,19 to 28,male,3,free,moderate,1554 to 3368,12 to 24,vacation/others,good
288,2,28 to 38,female,2,own,little,250 to 1554,4 to 12,radio/TV,good
289,3,28 to 38,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
290,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,business,good
291,2,19 to 28,male,3,rent,little,1554 to 3368,12 to 24,car,bad
292,4,28 to 38,female,3,free,little,1554 to 3368,4 to 12,car,good
293,4,28 to 38,male,2,free,little,250 to 1554,12 to 24,car,good
294,4,28 to 38,male,3,own,no account,1554 to 3368,12 to 24,business,good
295,2,19 to 28,female,2,own,little,1554 to 3368,12 to 24,furniture/equipment,bad
296,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,car,good
297,2,28 to 38,male,1,own,no account,250 to 1554,4 to 12,car,good
298,2,28 to 38,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
299,4,19 to 28,male,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
300,2,28 to 38,female,0,own,little,250 to 1554,4 to 12,car,good
301,0,28 to 38,female,2,own,little,250 to 1554,12 to 24,radio/TV,bad
302,4,19 to 28,male,1,own,no account,250 to 1554,4 to 12,car,bad
303,4,28 to 38,male,2,own,little,250 to 1554,4 to 12,car,good
304,4,28 to 38,male,2,free,quite rich,1554 to 3368,12 to 24,car,bad
305,2,19 to 28,male,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
306,2,19 to 28,female,1,rent,no account,250 to 1554,12 to 24,car,good
307,2,19 to 28,male,1,own,moderate,250 to 1554,4 to 12,radio/TV,bad
308,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
309,2,19 to 28,male,1,rent,little,250 to 1554,4 to 12,car,good
310,2,28 to 38,male,0,free,no account,250 to 1554,12 to 24,vacation/others,good
311,2,19 to 28,male,2,own,moderate,250 to 1554,4 to 12,furniture/equipment,good
312,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
313,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,bad
314,2,19 to 28,male,1,own,no account,250 to 1554,4 to 12,car,good
315,1,19 to 28,male,2,own,little,250 to 1554,12 to 24,furniture/equipment,bad
316,2,28 to 38,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
317,2,28 to 38,female,1,own,no account,250 to 1554,4 to 12,furniture/equipment,good
318,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,education,good
319,3,19 to 28,female,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
320,4,19 to 28,male,3,own,little,250 to 1554,12 to 24,car,bad
321,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,bad
322,2,19 to 28,male,3,free,little,250 to 1554,4 to 12,car,good
323,2,19 to 28,male,2,own,rich,250 to 1554,4 to 12,furniture/equipment,good
324,4,19 to 28,female,2,own,little,250 to 1554,4 to 12,car,good
325,4,28 to 38,male,1,own,little,250 to 1554,4 to 12,car,good
326,4,28 to 38,male,2,rent,no account,250 to 1554,4 to 12,furniture/equipment,good
327,2,19 to 28,female,2,own,rich,250 to 1554,4 to 12,car,good
328,2,19 to 28,male,2,own,little,250 to 1554,12 to 24,radio/TV,good
329,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
330,4,38 to 75,male,3,free,little,1554 to 3368,4 to 12,car,good
331,4,19 to 28,female,2,own,moderate,250 to 1554,4 to 12,education,bad
332,2,19 to 28,female,3,own,moderate,1554 to 3368,24 to 72,car,bad
333,4,19 to 28,female,1,rent,moderate,1554 to 3368,12 to 24,car,bad
334,0,19 to 28,male,2,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
335,4,28 to 38,male,3,rent,little,250 to 1554,4 to 12,furniture/equipment,bad
336,2,19 to 28,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
337,2,19 to 28,female,2,rent,no account,250 to 1554,4 to 12,domestic appliances,bad
338,2,19 to 28,male,2,own,little,250 to 1554,4 to 12,furniture/equipment,good
339,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,furniture/equipment,good
340,4,19 to 28,female,2,free,little,250 to 1554,4 to 12,education,good
341,2,19 to 28,female,1,rent,little,250 to 1554,4 to 12,furniture/equipment,good
342,2,19 to 28,male,2,rent,quite rich,250 to 1554,4 to 12,radio/TV,good
343,2,19 to 28,male,3,own,little,250 to 1554,4 to 12,business,good
344,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,good
345,4,28 to 38,female,1,own,little,250 to 1554,4 to 12,radio/TV,good
346,4,19 to 28,male,2,own,little,250 to 1554,4 to 12,radio/TV,good
347,2,19 to 28,female,0,rent,quite rich,250 to 1554,4 to 12,radio/TV,good
348,3,19 to 28,male,1,own,moderate,250 to 1554,4 to 12,business,good
349,4,19 to 28,male,2,free,rich,250 to 1554,4 to 12,education,bad
350,2,19 to 28,female,2,rent,little,250 to 1554,4 to 12,domestic appliances,good
351,2,19 to 28,female,2,own,little,250 to 1554,4 to 12,furniture/equipment,bad
352,4,28 to 38,male,3,own,no account,250 to 1554,4 to 12,car,good
353,0,19 to 28,male,2,rent,little,250 to 1554,4 to 12,radio/TV,bad
354,2,28 to 38,male,2,free,quite rich,250 to 1554,4 to 12,education,good
355,2,19 to 28,male,1,own,little,250 to 1554,4 to 12,car,bad
356,4,28 to 38,male,2,own,no account,250 to 1554,4 to 12,radio/TV,good
